id,nombre,descripcion,precio,categoria,u_por_caja,foto1,foto2,foto3
63631,PIEDRAS BENTONITA PET ONE 4KG,,5600,PIEDRAS IMPORTADAS,8,63631_1.jpg,,
63632,"PIEDRAS SILICAS DE GEL 1,6KG",,7100,PIEDRAS IMPORTADAS,8,63632_1.jpg,,
63633,"PIEDRAS PACK VERDE 2,5KG",,8300,PIEDRAS IMPORTADAS,8,63633_1.jpg,,
63620,PANOS PETONE 60X60,60x60cm,10500,HIGIENE PET-ONE,8,63620_1.jpg,,
63801,RASC PUENTE J0792,40x30x50cm,33500,RASCADORES PET-ONE,1,63801_1.jpg,,
63802,RASC SIMPLE CON D CAT 265633 PBJ0146,29x29x39cm,21200,RASCADORES PET-ONE,4,63802_1.jpg,,
63803,RASC CUCHA CON D CAT 265602 MX-11296,30x30x56cm,38300,RASCADORES PET-ONE,4,63803_1.jpg,,
63804,RASC SIMPLE PW-2743200699,28x28x37cm,19800,RASCADORES PET-ONE,8,63804_1.jpg,,
63805,RASC CUCHA CON DDES CAMPHESKB00253,50x30x85cm,67400,RASCADORES PET-ONE,1,63805_1.jpg,,
63806,RASC CUCHA CON TDES CAT-C-4ST-112-LIG,41x41x112cm,79300,RASCADORES PET-ONE,1,63806_1.jpg,,
8002,ELEGANCE-6010M,,211000,CUCHAS Y CAMITAS PET-ONE,1,8002_1.jpg,,
62001,CAMA MOSCU PEL108489-2025,50x40x18cm,22900,CUCHAS Y CAMITAS PET-ONE,8,62001_1.jpg,,
62004,CAMA PEKIN S PE149666,45x35x14cm,17900,CUCHAS Y CAMITAS PET-ONE,8,62004_1.jpg,,
62005,CAMA PEKIN M PE149673,55x45x16cm,24400,CUCHAS Y CAMITAS PET-ONE,8,62005_1.jpg,,
62006,CAMA PEKIN L PE149680,70x60x18cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62006_1.jpg,,
62007,CAMA ROMA S PE108588,55x48x16cm,25000,CUCHAS Y CAMITAS PET-ONE,8,62007_1.jpg,,
62009,CAMA ROMA L PE108601,75x65x18cm,35500,CUCHAS Y CAMITAS PET-ONE,8,62009_1.jpg,,
62010,CAMA LIMA A4034-S,55x40x12cm,19000,CUCHAS Y CAMITAS PET-ONE,8,62010_1.jpg,,
62011,CAMA LIMA A4034-M,65x50x13cm,23300,CUCHAS Y CAMITAS PET-ONE,8,62011_1.jpg,,
62012,CAMA LIMA A4034-L,75x59x15cm,29800,CUCHAS Y CAMITAS PET-ONE,8,62012_1.jpg,,
62014,CAMA ESTAMBUL,65x50x20cm,37300,CUCHAS Y CAMITAS PET-ONE,8,62014_1.jpg,,
62015,CAMA MADRID S BROWN,65x45x10cm,21900,CUCHAS Y CAMITAS PET-ONE,8,62015_1.jpg,,
62016,CAMA MADRID S D GREY,65x45x10cm,21900,CUCHAS Y CAMITAS PET-ONE,8,62016_1.jpg,,
62017,CAMA MADRID S L GREY,65x45x10cm,21900,CUCHAS Y CAMITAS PET-ONE,8,62017_1.jpg,,
62018,CAMA MADRID M BROWN,80x50x10cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62018_1.jpg,,
62019,CAMA MADRID M D GREY,80x50x10cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62019_1.jpg,,
62020,CAMA MADRID M L GREY,80x50x10cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62020_1.jpg,,
62021,CAMA MADRID L BROWN,96x60x10cm,35600,CUCHAS Y CAMITAS PET-ONE,8,62021_1.jpg,,
62022,CAMA MADRID L D GREY,96x60x10cm,35600,CUCHAS Y CAMITAS PET-ONE,8,62022_1.jpg,,
62023,CAMA MADRID L L GREY,96x60x10cm,35600,CUCHAS Y CAMITAS PET-ONE,8,62023_1.jpg,,
62024,CAMA BOGOTA S BROWN,60x48x16cm,28100,CUCHAS Y CAMITAS PET-ONE,8,62024_1.jpg,,
62025,CAMA BOGOTA S TEAL,60x48x16cm,28100,CUCHAS Y CAMITAS PET-ONE,8,62025_1.jpg,,
62026,CAMA BOGOTA S D BLUE,60x48x16cm,28100,CUCHAS Y CAMITAS PET-ONE,8,62026_1.jpg,,
62027,CAMA BOGOTA L BROWN,75x60x18cm,39300,CUCHAS Y CAMITAS PET-ONE,8,62027_1.jpg,,
62028,CAMA BOGOTA L TEAL,75x60x18cm,39300,CUCHAS Y CAMITAS PET-ONE,8,62028_1.jpg,,
62029,CAMA BOGOTA L D BLUE,75x60x18cm,39300,CUCHAS Y CAMITAS PET-ONE,8,62029_1.jpg,,
62030,CAMA ZURICH S  BROWN,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62030_1.jpg,,
62031,CAMA ZURICH S  TEAL,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62031_1.jpg,,
62032,CAMA ZURICH S  D BLUE,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62032_1.jpg,,
62033,CAMA ZURICH M  BROWN,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62033_1.jpg,,
62034,CAMA ZURICH M  TEAL,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62034_1.jpg,,
62035,CAMA ZURICH M  D BLUE,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62035_1.jpg,,
62036,CAMA ZURICH L  BROWN,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62036_1.jpg,,
62037,CAMA ZURICH L TEAL,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62037_1.jpg,,
62038,CAMA ZURICH L  D BLUE,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62038_1.jpg,,
62039,CAMA LONDRES S BROWN,60x48x17cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62039_1.jpg,,
62040,CAMA LONDRES S BLUE,60x48x17cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62040_1.jpg,,
62041,CAMA LONDRES S GREY,60x48x17cm,26900,CUCHAS Y CAMITAS PET-ONE,8,62041_1.jpg,,
62042,CAMA LONDRES L BROWN,75x60x18cm,37600,CUCHAS Y CAMITAS PET-ONE,8,62042_1.jpg,,
62043,CAMA LONDRES L BLUE,75x60x18cm,37600,CUCHAS Y CAMITAS PET-ONE,8,62043_1.jpg,,
62044,CAMA LONDRES L GREY,75x60x18cm,37600,CUCHAS Y CAMITAS PET-ONE,8,62044_1.jpg,,
62045,CAMA ATENAS S BROWN,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62045_1.jpg,,
62046,CAMA ATENAS S BLUE,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62046_1.jpg,,
62047,CAMA ATENAS S GREY,50x40x10cm,22300,CUCHAS Y CAMITAS PET-ONE,8,62047_1.jpg,,
62048,CAMA ATENAS M BROWN,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62048_1.jpg,,
62049,CAMA ATENAS M BLUE,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62049_1.jpg,,
62050,CAMA ATENAS M GREY,70x50x10cm,31400,CUCHAS Y CAMITAS PET-ONE,8,62050_1.jpg,,
62051,CAMA ATENAS L BROWN,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62051_1.jpg,,
62052,CAMA ATENAS L BLUE,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62052_1.jpg,,
62053,CAMA ATENAS L GREY,90x70x10cm,47100,CUCHAS Y CAMITAS PET-ONE,8,62053_1.jpg,,
60080,Bolso Transportador´´PTB2014L´´,50x22xH28cm,14200,JUGUETES PET-ONE,72,60080_1.jpg,,
62065,Cucha Pet One Red´´DC1356´´,82x56x71cm,141600,CUCHAS Y CAMITAS PET-ONE,1,62065_1.jpg,,
62066,Cucha Pet One Con Puerta´´DC710´´,98x84x82cm,306500,CUCHAS Y CAMITAS PET-ONE,1,62066_1.jpg,,
62067,"Cucha Pet One Black ""L""´´DC708L´´",73x66x71cm,420300,CUCHAS Y CAMITAS PET-ONE,1,62067_1.jpg,,
62068,"Cucha Pet One Black ""M""´´DC708M´´",87x79x83cm,269700,CUCHAS Y CAMITAS PET-ONE,1,62068_1.jpg,,
62069,"Cucha Pet One Black ""S""´´DC708S´´",105x96x108cm,183100,CUCHAS Y CAMITAS PET-ONE,1,62069_1.jpg,,
8422,HUESO STAR-YT3452N-M,15x4x3cm,4800,JUGUETES PET-ONE,24,8422_1.jpg,,
8423,HUESO STAR-YT3452N-L,19x6x4cm,11100,JUGUETES PET-ONE,24,8423_1.jpg,,
8439,HUEVO RUBBER SPACE-YT89969B,34x10x9cm,12400,JUGUETES PET-ONE,12,8439_1.jpg,,
8458,BIFE DENTAL PS05038,12x8cm,7500,JUGUETES PET-ONE,24,8458_1.jpg,,
8459,CHICKEN DENTRAL PS05039,12x8cm,7500,JUGUETES PET-ONE,24,8459_1.jpg,,
8956,RUGBY INTERACTIVO D6946,16x8x8cm,9100,JUGUETES PET-ONE,24,8956_1.jpg,,
8957,MORDILLO INTERACTIVO D6947,15x15x5cm,9800,JUGUETES PET-ONE,24,8957_1.jpg,,
8958,RUGBY CON SOGA D6989,35x8x5cm,8700,JUGUETES PET-ONE,64,8958_1.jpg,,
8959,HUESO CON SOGA D6990,35x8x4cm,9800,JUGUETES PET-ONE,64,8959_1.jpg,,
8961,PELOTA DE GOMA MED D1050-M,D 8cm,5700,JUGUETES PET-ONE,48,8961_1.jpg,,
8963,PALTA CAT A1963,7x4cm,6800,JUGUETES PET-ONE,96,8963_1.jpg,,
8965,HUESO SEJ036046,12x4cm,3300,JUGUETES PET-ONE,48,8965_1.jpg,,
60001,RATONCITO J2782,3x13cm,2800,JUGUETES PET-ONE,48,60001_1.jpg,,
60002,RATON CATNIP J7014,"10x2,5cm",2800,JUGUETES PET-ONE,96,60002_1.jpg,,
60003,CAÑA PARA GATO RATON J3447,40cm,3500,JUGUETES PET-ONE,96,60003_1.jpg,,
60004,CAÑA PARA GATO LANGOSTINO J3449,40cm,3700,JUGUETES PET-ONE,96,60004_1.jpg,,
60005,CAÑA PARA GATO PESCADO NEGRO J3673,46cm,3700,JUGUETES PET-ONE,96,60005_1.jpg,,
60006,CAÑA PARA GATO RATON NEGRO J3677,46cm,3600,JUGUETES PET-ONE,96,60006_1.jpg,,
60007,PELOTA DURABLE TPR D65197,"D 8,5cm",6500,JUGUETES PET-ONE,36,60007_1.jpg,,
60008,JUGUETE DURABLE TPR D65198,"8x8,5cm",7400,JUGUETES PET-ONE,36,60008_1.jpg,,
60009,BOOMERANG DURABLE CON SOGA D6390,36cm,5300,JUGUETES PET-ONE,36,60009_1.jpg,,
60010,ROSQUILLA DURABLE CON SOGA D6391,36cm,5800,JUGUETES PET-ONE,48,60010_1.jpg,,
60011,BOOMERANG DURABLE D65172,"16,4x5,4cm",3900,JUGUETES PET-ONE,36,60011_1.jpg,,
60012,ROSQUILLA DURABLE D65174,"D 10,4cm",4000,JUGUETES PET-ONE,36,60012_1.jpg,,
60013,PALO INTERACTIVO D6945,18x5x5cm,7700,JUGUETES PET-ONE,48,60013_1.jpg,,
60014,PESA INTERACTIVA D6948,18x6x6cm,8000,JUGUETES PET-ONE,48,60014_1.jpg,,
60015,PELOTA TPR CON CHIFLE D65206,"8,4x8cm",7000,JUGUETES PET-ONE,48,60015_1.jpg,,
60016,HUESO TPR CON CHIFLE D65207,"16,5x7cm",7000,JUGUETES PET-ONE,48,60016_1.jpg,,
60017,ANILLO TPR CON CHIFLE D65209,"16,5x7cm",7500,JUGUETES PET-ONE,48,60017_1.jpg,,
60018,BOOMERANG TPR CON CHIFLE D65208,"22,5x3cm",7400,JUGUETES PET-ONE,48,60018_1.jpg,,
60019,JUGUETE PERRO SILICONA D65159,"13x5,7cm",9800,JUGUETES PET-ONE,48,60019_1.jpg,,
60020,PELOTA SILICONA D65154,"7,5x7,7cm",8900,JUGUETES PET-ONE,48,60020_1.jpg,,
60021,PELOTA RUGBY TPR D65290,10x5cm,5000,JUGUETES PET-ONE,48,60021_1.jpg,,
60022,HUESO TPR D65291,11x4cm,4200,JUGUETES PET-ONE,48,60022_1.jpg,,
